"file"	"detected_text_or_pattern"	"context"	"category"	"public_blocker_yes_no"	"recommended_action"	"fixed_yes_no"	"notes"
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\02_adding_control_to_design.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\03_Final_design_file_autogroup.R"	"D:/IMRS_Project"	"in_dir  <- ""D:/IMRS_Project/00_metadata/verified_metadata"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\05_DEseq_contrast_delivery_control.R"	"D:/IMRS_Project"	"#   Rscript 05_IMRS_Step5_Windows_Phased.R ""D:/IMRS_Project"" ""GSE167521"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\06A_core_gene_set.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\06A_core_gene_set_mannual.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\06B_gene_heterogeneity.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\06C_Power_analysis.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\07_weight_estimation.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\08_score_samples.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\09_calibration_evaluation.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\audit_gse264344.R"	"D:/IMRS_Project"	"#   D:/IMRS_Project/05_score/transfer/scores/GSE264344__featurecounts_validation__imrs_scores.tsv"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\compare_imrs_to_literature.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\METADATA_BUILD.R"	"D:/IMRS_Project"	"project_root <- ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\Post-09_Check.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\post_09A_flag_low_imrs_datasets.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\post_09B_diagnose_weak_datasets.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\post_09C_Noise_Rescore.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\frozen_gene_reconstruction\06A_core_gene_set.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\frozen_gene_reconstruction\06B_gene_heterogeneity.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\frozen_gene_reconstruction\06C_Power_analysis.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\full_pipeline\frozen_gene_reconstruction\07_weight_estimation.R"	"D:/IMRS_Project"	"project_root <- if (length(args) >= 1) args[1] else ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\00_prep_star_index.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/prep_star_index_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\00_prep_star_index_human.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/prep_star_index_human_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\01_star_align_array.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/star_align_%A_%a.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\01_star_align_array_human.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/star_align_human_%A_%a.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\01_star_align_array_old.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/star_align_%A_%a.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\02a_prepare_fc_batches.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/fc_prepare_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\02b_featurecounts_array.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/fc_batch_%A_%a.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\02c_merge_fc_batches.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/fc_merge_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\02_featurecounts_merge.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/featurecounts_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\02_featurecounts_merge_old.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/featurecounts_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\10_validate_counts.slurm"	"/blue/"	"source /blue/wenjunxie/yanshengluo/miniconda3/etc/profile.d/conda.sh"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\10_validate_counts.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/%x_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\deseq2_normalize.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/deseq2_norm_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\qc_all.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/qc_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\rerun_failed_star.slurm"	"/orange/"	"#   bash rerun_failed_star.sh /orange/qsong1/Yansheng/01_raw/fastq/GSE264344 \"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\SRR_download.slurm"	"/blue/"	"source /blue/wenjunxie/yanshengluo/miniconda3/etc/profile.d/conda.sh"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\SRR_download.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/01_raw/sra/GSE264344/logs/%x_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\SRR_download_all_at_once.slurm"	"/blue/"	"source /blue/wenjunxie/yanshengluo/miniconda3/etc/profile.d/conda.sh"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\SRR_download_all_at_once.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/logs/%x_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\SRR_download_better_algorithm.slurm"	"/blue/"	"source /blue/wenjunxie/yanshengluo/miniconda3/etc/profile.d/conda.sh"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\SRR_download_better_algorithm.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/01_raw/sra/GSE264344/logs/%x_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\SRR_download_database_as_input.slurm"	"/blue/"	"source /blue/wenjunxie/yanshengluo/miniconda3/etc/profile.d/conda.sh"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\hpc_hypergator\SRR_download_database_as_input.slurm"	"/orange/"	"#SBATCH --output=/orange/qsong1/Yansheng/01_raw/sra/logs/%x_%j.out"	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\utilities\IMRS_repository_release_plan_v6.md"	"reviewer-access"	"If the repository remains private before acceptance, provide a reviewer-access link or archive. The reviewer package should include the v6 outputs, scripts, manifests, data/code availability statements, and this NAR G&B readiness folder."	"reviewer_private_link"	"yes"	"Manual release metadata required before final public release."	"no"	"Expected placeholder remains for URL/license/reviewer/DOI metadata."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\utilities\project_tree.R"	"D:/IMRS_Project"	"project_root <- ""D:/IMRS_Project"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
"D:\IMRS_Project\final_manuscripts\IMRS_Public_Release_Candidate\GitHub_clean_repo\scripts\utilities\temporal_code.R"	"D:/IMRS_Project"	"in_file <- ""D:/IMRS_Project/00_metadata/verified_metadata/GSE119119_design.tsv"""	"script_example_path"	"no"	"Documented script/reconstruction example; optional portability cleanup after public release."	"no"	"Not called by Level 1 runner unless separately configured."
