source_split_file	split_id	dataset_id_guess	gse_id	tissue_from_filename	time_h_from_filename	treatment_token	control_token	n_rows	n_delivery	n_control	treatment_group_raw	control_group_raw	tissue_recovered	time_h_recovered	is_scored_in_current_eval
<local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	GSE279372	GSE279372	draining lymph nodes	24	delivery_1000_g_lnps_injected	baseline_0	8	4	4	delivery_1000_g_lnps_injected	baseline_0	draining lymph nodes	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	GSE279372	GSE279372	draining lymph nodes	24	delivery_250_g_alum_injected	baseline_0	8	4	4	delivery_250_g_alum_injected	baseline_0	draining lymph nodes	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0.tsv	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0	GSE279372	GSE279372	draining lymph nodes	24	delivery_5_g_gi_1_gii_4_vlp	baseline_0	8	4	4	delivery_5_g_gi_1_gii_4_vlp	baseline_0	draining lymph nodes	24	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE279743_design/GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0	GSE279743	GSE279743	Lymph Node	6	delivery_vaccination_with_sm102	baseline_0	6	3	3	delivery_vaccination_with_sm102	baseline_0	Lymph Node	6	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE279743_design/GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0	GSE279743	GSE279743	Lymph Node	6	delivery_vaccination_with_ssop	baseline_0	6	3	3	delivery_vaccination_with_ssop	baseline_0	Lymph Node	6	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE279744_design/GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0	GSE279744	GSE279744	lymph node	6	delivery_vaccination_with_sm102	baseline_0	6	3	3	delivery_vaccination_with_sm102	baseline_0	lymph node	6	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE279744_design/GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0	GSE279744	GSE279744	lymph node	6	delivery_vaccination_with_ssop	baseline_0	6	3	3	delivery_vaccination_with_ssop	baseline_0	lymph node	6	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE314070_design/GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0.tsv	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0	GSE314070	GSE314070	small intestine	336	delivery_am80_lnp	baseline_0	6	3	3	delivery_am80_lnp	baseline_0	small intestine	336	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE314070_design/GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_sm102_lnp__VS=baseline_0.tsv	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_sm102_lnp__VS=baseline_0	GSE314070	GSE314070	small intestine	336	delivery_sm102_lnp	baseline_0	6	3	3	delivery_sm102_lnp	baseline_0	small intestine	336	TRUE
<local_project_root>/00_metadata/verified_metadata/splited/GSE39129_design/GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none.tsv	GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none	GSE39129	GSE39129	liver	4	delivery_lentiviral_vector_lv	delivery_none	6	3	3	delivery_lentiviral_vector_lv_	delivery_none	liver	4	TRUE
