dataset_id	split_id	tissue	timepoint_h	batch_or_grouping_variable	treatment_group_clean	control_group_clean	n_delivery	n_control	split_definition_basis	automated_or_manual	evidence_source	notes
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0	Blood	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0	Blood	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0	Muscle	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0	Muscle	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0	dLN	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0	dLN	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	time_h <= 24: locked anchor discovery evidence
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0	Blood	72	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found.
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0	Blood	72	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found.
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0	Muscle	72	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found.
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0	Muscle	72	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found.
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0	dLN	72	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad26	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found.
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0	dLN	72	<local_project_root>/00_metadata/verified_metadata/scoring/GSE264344/GSE264344_design.tsv	delivery ad5	baseline 0	5	5	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found.
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0	draining lymph nodes	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279372/GSE279372_design.tsv	delivery 250 g alum 5 g gi 1 gii 4 vlp injected	baseline 0	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	locked anchor; acute discovery context
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0	draining lymph nodes	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279372/GSE279372_design.tsv	delivery 125 g lnps 5 g gi 1 gii 4 vlp injected	baseline 0	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	locked anchor; acute discovery context
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0	draining lymph nodes	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279372/GSE279372_design.tsv	delivery 1000 g lnps 5 g gi 1 gii 4 vlp injected	baseline 0	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	locked anchor; acute discovery context
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0	draining lymph nodes	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279372/GSE279372_design.tsv	delivery 1000 g lnps injected	baseline 0	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	locked anchor; acute discovery context
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0	draining lymph nodes	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279372/GSE279372_design.tsv	delivery 250 g alum injected	baseline 0	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	locked anchor; acute discovery context
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0	draining lymph nodes	24	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279372/GSE279372_design.tsv	delivery 5 g gi 1 gii 4 vlp	baseline 0	4	4	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE279372_design/GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	locked anchor; acute discovery context
GSE279743	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0	Lymph Node	6	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279743/GSE279743_design.tsv	delivery vaccination with sm102	baseline 0	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE279743_design/GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation
GSE279743	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0	Lymph Node	6	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279743/GSE279743_design.tsv	delivery vaccination with ssop	baseline 0	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE279743_design/GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	external acute validation
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0	lymph node	6	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279744/GSE279744_design.tsv	delivery vaccination with sm102	baseline 0	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE279744_design/GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	locked anchor; acute LNP formulation / dLN context
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0	lymph node	6	<local_project_root>/00_metadata/verified_metadata/scoring/GSE279744/GSE279744_design.tsv	delivery vaccination with ssop	baseline 0	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE279744_design/GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	locked anchor; acute LNP formulation / dLN context
GSE314070	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0	small intestine	336	<local_project_root>/00_metadata/verified_metadata/scoring/GSE314070/GSE314070_design.tsv	delivery am80 lnp	baseline 0	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE314070_design/GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found.
GSE314070	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_sm102_lnp__VS=baseline_0	small intestine	336	<local_project_root>/00_metadata/verified_metadata/scoring/GSE314070/GSE314070_design.tsv	delivery sm102 lnp	baseline 0	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE314070_design/GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_sm102_lnp__VS=baseline_0.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	PMID/title from user-provided verified mapping; no local metadata contradiction was found.
GSE39129	GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none	liver	4	<local_project_root>/00_metadata/verified_metadata/scoring/GSE39129/GSE39129_design.tsv	delivery lentiviral vector lv	delivery none	3	3	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE39129_design/GSE39129_design__T=liver__H=4__B=NA__G=delivery_lentiviral_vector_lv__VS=delivery_none.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	locked anchor; mouse liver; 4 h
GSE190850_HUMAN	GSE190850_HUMAN_design__T=BALF__H=1344__B=NA__G=GID00119535__VS=delivery_unstimulated	BALF	1344	<local_project_root>/00_metadata/verified_metadata/scoring/GSE190850_HUMAN/GSE190850_HUMAN_design.tsv	delivery stimulated with m tb whole cell lysate	delivery unstimulated	20	20	Curated delivery-versus-control split from <local_project_root>/00_metadata/verified_metadata/splited/GSE190850_HUMAN_design/GSE190850_HUMAN_design__T=BALF__H=1344__B=NA__G=GID00119535__VS=delivery_unstimulated.tsv	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	Metadata-only split. No current IMRS result is assigned.
GSE237068	GSE237068_metadata_only	NA	NA	<local_project_root>/00_metadata/verified_metadata/GSE237068_design.tsv	NA	NA	NA	NA	Curated delivery-versus-control split from NA	manual/curated metadata consumed by automated scoring scripts	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	Metadata-only dataset. No current IMRS result is assigned.
