dataset_id	sample_or_group_id	raw_label	cleaned_label	condition_simple	delivery_or_control	label_assignment_basis	evidence_source	needs_review_yes_no	notes
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=6__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=12__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=24__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Blood__H=72__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0::treatment	delivery_ad26	delivery ad26	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0::treatment	delivery_ad5	delivery ad5	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0::treatment	delivery_250_g_alum_5_g_gi_1_gii_4_vlp_injected	delivery 250 g alum 5 g gi 1 gii 4 vlp injected	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110503__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0::treatment	delivery_125_g_lnps_5_g_gi_1_gii_4_vlp_injected	delivery 125 g lnps 5 g gi 1 gii 4 vlp injected	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00110754__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0::treatment	delivery_1000_g_lnps_5_g_gi_1_gii_4_vlp_injected	delivery 1000 g lnps 5 g gi 1 gii 4 vlp injected	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=GID00114748__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0::treatment	delivery_1000_g_lnps_injected	delivery 1000 g lnps injected	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_1000_g_lnps_injected__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0::treatment	delivery_250_g_alum_injected	delivery 250 g alum injected	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_250_g_alum_injected__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0::treatment	delivery_5_g_gi_1_gii_4_vlp	delivery 5 g gi 1 gii 4 vlp	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0
GSE279372	GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279372_design__T=draining_lymph_nodes__H=24__B=NA__G=delivery_5_g_gi_1_gii_4_vlp__VS=baseline_0
GSE279743	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0::treatment	delivery_vaccination_with_sm102	delivery vaccination with sm102	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0
GSE279743	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0
GSE279743	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0::treatment	delivery_vaccination_with_ssop	delivery vaccination with ssop	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0
GSE279743	GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279743_design__T=Lymph_Node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0::treatment	delivery_vaccination_with_sm102	delivery vaccination with sm102	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0::treatment	delivery_vaccination_with_ssop	delivery vaccination with ssop	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0
GSE314070	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0::treatment	delivery_am80_lnp	delivery am80 lnp	CONTROL; DELIVERY	delivery	Curated treatment/delivery label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0
GSE314070	GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0::control	baseline_0	baseline 0	CONTROL; DELIVERY	control	Curated control/baseline label used to define the delivery-versus-control contrast.	<local_project_root>\audit\results\supplement_dataset_split_provenance_v7.tsv	no	Split: GSE314070_design__T=small_intestine__H=336__B=NA__G=delivery_am80_lnp__VS=baseline_0
